REGISTER_NAME,AFS_LIC_NUM,AFS_LIC_NAME,AFS_LIC_ABN_ACN,AFS_LIC_START_DT,AFS_LIC_PRE_FSR,AFS_LIC_ADD_LOCAL,AFS_LIC_ADD_STATE,AFS_LIC_ADD_PCODE,AFS_LIC_ADD_COUNTRY,AFS_LIC_LAT,AFS_LIC_LNG,AFS_LIC_CONDITION
"AFS Licence","218600","IPIB PTY LTD","85007186003","02/05/2002","InsGen 30366","SOUTHBANK","VIC","3006","Australia","-37.8253618","144.9640203","This licence authorises the licensee to carry on a financial services business to:~provide financial product advice for the following classes of financial products:~general insurance products; and~deal in a financial product by:~applying for, acquiring, varying or disposing of a financial product on behalf of another person in respect of the following classes of products:~general insurance products;~to retail and wholesale clients."
"AFS Licence","218678","IMC PACIFIC PTY LTD","89099273846","26/04/2002","","SYDNEY","NSW","2000","Australia","-33.8698439","151.2082848","This licence authorises the licensee to carry on a financial services business to:~deal in a financial product by:~issuing, applying for, acquiring, varying or disposing of a financial product in respect of the following classes of financial products:~derivatives; and~foreign exchange contracts; and~make a market for the following financial products:~foreign exchange contracts;~derivatives; and~limited to financial products other than:~derivatives;~foreign exchange contracts; and~debentures, stocks or bonds issued or proposed to be issued by a government and/or debentures issued by any other body;~to wholesale clients."
"AFS Licence","218705","SWIFT FINANCIAL PLANNING PTY LTD","74097777725","22/04/2002","","MELBOURNE","VIC","3000","Australia","-37.8142454","144.9631732","This licence authorises the licensee to carry on a financial services business to:~provide financial product advice for the following classes of financial products:~deposit and payment products limited to:~basic deposit products;~debentures, stocks or bonds issued or proposed to be issued by a government;~life products including:~investment life insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds; and~life risk insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds;~interests in managed investment schemes including:~investor directed portfolio services;~retirement savings accounts (""RSA"") products (within the meaning of the Retirement Savings Account Act 1997);~securities; and~superannuation; and~deal in a financial product by:~applying for, acquiring, varying or disposing of a financial product on behalf of another person in respect of the following classes of products:~deposit and payment products limited to:~basic deposit products;~debentures, stocks or bonds issued or proposed to be issued by a government;~life products including:~investment life insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds; and~life risk insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds;~interests in managed investment schemes including:~investor directed portfolio services;~retirement savings accounts (""RSA"") products (within the meaning of the Retirement Savings Account Act 1997);~securities; and~superannuation;~to retail and wholesale clients."
"AFS Licence","218770","TRILOGY GROUP AUSTRALIA PTY LTD","80078111654","22/08/2002","FutBro 169201","TOORADIN","VIC","3980","Australia","-38.2138303","145.3816827","This licence authorises the licensee to carry on a financial services business to:~provide general financial product advice to retail clients for the following classes of financial products:~deposit and payment products limited to:~basic deposit products;~deposit products other than basic deposit products;~derivatives;~foreign exchange contracts restricted to foreign exchange contracts utilised for the management of financial risk (hedging) which only have the purposes of:~management or mitigation of the financial consequences of particular circumstances happening; or~avoiding or limiting the financial consequences of fluctuations in the rate of exchange of foreign currency;~debentures, stocks or bonds issued or proposed to be issued by a government;~life products including:~investment life insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds; and~life risk insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds;~interests in managed investment schemes including:~investor directed portfolio services;~retirement savings accounts (""RSA"") products (within the meaning of the Retirement Savings Account Act 1997);~securities;~standard margin lending facility; and~superannuation; and~provide financial product advice to wholesale clients for the following classes of financial products:~deposit and payment products limited to:~basic deposit products;~deposit products other than basic deposit products;~derivatives;~foreign exchange contracts restricted to foreign exchange contracts utilised for the management of financial risk (hedging) which only have the purposes of:~management or mitigation of the financial consequences of particular circumstances happening; or~avoiding or limiting the financial consequences of fluctuations in the rate of exchange of foreign currency;~debentures, stocks or bonds issued or proposed to be issued by a government;~life products including:~investment life insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds; and~life risk insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds;~interests in managed investment schemes including:~investor directed portfolio services;~retirement savings accounts (""RSA"") products (within the meaning of the Retirement Savings Account Act 1997);~securities;~standard margin lending facility; and~superannuation;~deal in a financial product to retail and wholesale clients by:~issuing, applying for, acquiring, varying or disposing of a financial product in respect of the following classes of financial products:~derivatives; and~interests in managed investment schemes limited to:~own managed investment scheme only; and~applying for, acquiring, varying or disposing of a financial product on behalf of another person in respect of the following classes of products:~deposit and payment products limited to:~basic deposit products;~deposit products other than basic deposit products;~derivatives;~foreign exchange contracts restricted to foreign exchange contracts utilised for the management of financial risk (hedging) which only have the purposes of:~management or mitigation of the financial consequences of particular circumstances happening; or~avoiding or limiting the financial consequences of fluctuations in the rate of exchange of foreign currency~debentures, stocks or bonds issued or proposed to be issued by a government;~life products including:~investment life insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds; and~life risk insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds;~interests in managed investment schemes including:~investor directed portfolio services;~retirement savings accounts (""RSA"") products (within the meaning of the Retirement Savings Account Act 1997);~securities;~standard margin lending facility; and~superannuation; and~provide the following custodial or depository services to retail and wholesale clients:~operate custodial or depository services other than investor directed portfolio services."
"AFS Licence","219140","HAWKESBRIDGE CAPITAL PTY LIMITED","96091160879","13/06/2002","","SYDNEY","NSW","2000","Australia","-33.8698439","151.2082848","This licence authorises the licensee to carry on a financial services business to:~provide financial product advice for the following classes of financial products:~interests in managed investment schemes; and~securities; and~deal in a financial product by:~issuing, applying for, acquiring, varying or disposing of a financial product in respect of the following classes of financial products:~interests in managed investment schemes; and~securities; and~applying for, acquiring, varying or disposing of a financial product on behalf of another person in respect of the following classes of products:~interests in managed investment schemes; and~securities;~to wholesale clients."
"AFS Licence","219195","HAYES STERLING PTY. LIMITED","31008207181","31/05/2002","SecDlr 010783","BALWYN","VIC","3103","Australia","-37.8091737","145.0833678","This licence authorises the licensee to carry on a financial services business to:~provide financial product advice for the following classes of financial products:~deposit and payment products limited to:~basic deposit products;~deposit products other than basic deposit products;~debentures, stocks or bonds issued or proposed to be issued by a government;~life products including:~investment life insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds; and~life risk insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds;~interests in managed investment schemes including:~investor directed portfolio services;~retirement savings accounts (""RSA"") products (within the meaning of the Retirement Savings Account Act 1997);~securities;~standard margin lending facility; and~superannuation; and~deal in a financial product by:~applying for, acquiring, varying or disposing of a financial product on behalf of another person in respect of the following classes of products:~deposit and payment products limited to:~basic deposit products;~deposit products other than basic deposit products;~debentures, stocks or bonds issued or proposed to be issued by a government;~life products including:~investment life insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds; and~life risk insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds;~interests in managed investment schemes including:~investor directed portfolio services;~retirement savings accounts (""RSA"") products (within the meaning of the Retirement Savings Account Act 1997);~securities;~standard margin lending facility; and~superannuation;~to retail and wholesale clients."
"AFS Licence","219326","TOWNSHEND CAPITAL PTY LTD","52099900188","11/09/2002","","NORTH FREMANTLE","WA","6159","Australia","-32.0327438","115.7549789","This licence authorises the licensee to carry on a financial services business to:~provide financial product advice for the following classes of financial products:~deposit and payment products limited to:~basic deposit products;~deposit products other than basic deposit products;~derivatives;~interests in managed investment schemes including:~investor directed portfolio services; and~securities; and~deal in a financial product by:~issuing, applying for, acquiring, varying or disposing of a financial product in respect of the following classes of financial products:~interests in managed investment schemes excluding investor directed portfolio services; and~securities;~applying for, acquiring, varying or disposing of a financial product on behalf of another person in respect of the following classes of products:~deposit and payment products limited to:~basic deposit products;~deposit products other than basic deposit products;~derivatives;~interests in managed investment schemes including:~investor directed portfolio services; and~securities; and~underwriting:~interests in managed investment schemes; and~an issue of securities;~to wholesale clients."
"AFS Licence","219431","ODYSSEY EQUITY FINANCE PTY. LTD.","24096603799","04/06/2002","","SOUTH MELBOURNE","VIC","3205","Australia","-37.83344","144.9570533","This licence authorises the licensee to carry on a financial services business to:~provide general financial product advice only, for the following classes of financial products:~securities;~to wholesale clients."
"AFS Licence","219462","PENGANA INVESTMENT MANAGEMENT LIMITED","69063081612","05/06/2002","SecDlr 072624","SYDNEY","NSW","2000","Australia","-33.8698439","151.2082848","This licence authorises the licensee to carry on a financial services business to:~provide general financial product advice for the following classes of financial products:~interests in managed investment schemes limited to:~own managed investment scheme only;~deal in a financial product by:~issuing, applying for, acquiring, varying or disposing of a financial product in respect of the following classes of financial products:~derivatives;~foreign exchange contracts;~interests in managed investment schemes limited to:~own managed investment scheme only;~securities; and~superannuation; and~applying for, acquiring, varying or disposing of a financial product on behalf of another person in respect of the following classes of products:~derivatives;~foreign exchange contracts; and~securities; and~operate the following kinds of registered managed investment schemes (including the holding of any incidental property) in its capacity as responsible entity:~schemes which only hold the following types of property:~financial assets;~to retail and wholesale clients."
"AFS Licence","219582","VIRTU ITG AUSTRALIA LIMITED","46003067409","01/07/2002","SecDlr 011597","SYDNEY","NSW","2000","Australia","-33.8698439","151.2082848","This licence authorises the licensee to carry on a financial services business to:~deal in a financial product by:~applying for, acquiring, varying or disposing of a financial product on behalf of another person in respect of the following classes of products:~derivatives limited to:~old law securities options contracts and warrants;~interests in managed investment schemes excluding investor directed portfolio services; and~securities;~to retail clients (limited to employees and officers of the licensee) and wholesale clients."
